Timestamp,Milliseconds,Millibars
2020-06-01 18:40:15,2,1014.411
2020-06-01 18:40:15,102,1014.40967
2020-06-01 18:40:15,201,1014.4095
2020-06-01 18:40:15,301,1014.408
2020-06-01 18:40:15,401,1014.41125
2020-06-01 18:40:15,501,1014.4088
2020-06-01 18:40:15,601,1014.4088
2020-06-01 18:40:15,701,1014.4088
2020-06-01 18:40:15,802,1014.403
2020-06-01 18:40:15,901,1014.40717
2020-06-01 18:40:16,1001,1014.4091
2020-06-01 18:40:16,1101,1014.4122
2020-06-01 18:40:16,1201,1014.4191
2020-06-01 18:40:16,1301,1014.42163
2020-06-01 18:40:16,1401,1014.4236
2020-06-01 18:40:16,1501,1014.4175
2020-06-01 18:40:16,1602,1014.41583
2020-06-01 18:40:16,1701,1014.4142
2020-06-01 18:40:16,1801,1014.411
2020-06-01 18:40:16,1901,1014.41425
2020-06-01 18:40:17,2002,1014.4192
2020-06-01 18:40:17,2101,1014.4135
2020-06-01 18:40:17,2201,1014.4135
2020-06-01 18:40:17,2302,1014.41693
2020-06-01 18:40:17,2401,1014.4236
2020-06-01 18:40:17,2501,1014.423
2020-06-01 18:40:17,2602,1014.4227
2020-06-01 18:40:17,2701,1014.4181
2020-06-01 18:40:17,2801,1014.4181
2020-06-01 18:40:17,2901,1014.4163
2020-06-01 18:40:18,3001,1014.42206
2020-06-01 18:40:18,3102,1014.4181
2020-06-01 18:40:18,3201,1014.4205
2020-06-01 18:40:18,3302,1014.4205
2020-06-01 18:40:18,3401,1014.4213
2020-06-01 18:40:18,3501,1014.4131
2020-06-01 18:40:18,3602,1014.4131
2020-06-01 18:40:18,3701,1014.40735
2020-06-01 18:40:18,3801,1014.40204
2020-06-01 18:40:18,3902,1014.4013
2020-06-01 18:40:19,4001,1014.4095
2020-06-01 18:40:19,4101,1014.40656
2020-06-01 18:40:19,4202,1014.39905
2020-06-01 18:40:19,4301,1014.398
2020-06-01 18:40:19,4401,1014.3955
2020-06-01 18:40:19,4502,1014.3879
2020-06-01 18:40:19,4601,1014.3756
2020-06-01 18:40:19,4702,1014.38055
2020-06-01 18:40:19,4801,1014.3773
2020-06-01 18:40:19,4902,1014.3779
2020-06-01 18:40:20,5002,1014.37054
2020-06-01 18:40:20,5102,1014.37976
2020-06-01 18:40:20,5201,1014.3773
2020-06-01 18:40:20,5301,1014.37317
2020-06-01 18:40:20,5402,1014.3725
2020-06-01 18:40:20,5501,1014.36316
2020-06-01 18:40:20,5601,1014.3605
2020-06-01 18:40:20,5702,1014.3556
2020-06-01 18:40:20,5801,1014.35974
2020-06-01 18:40:20,5902,1014.35657
2020-06-01 18:40:21,6002,1014.353
2020-06-01 18:40:21,6101,1014.35474
2020-06-01 18:40:21,6202,1014.35803
2020-06-01 18:40:21,6301,1014.36334
2020-06-01 18:40:21,6402,1014.3683
2020-06-01 18:40:21,6501,1014.37
2020-06-01 18:40:21,6602,1014.371
2020-06-01 18:40:21,6702,1014.37335
2020-06-01 18:40:21,6801,1014.36926
2020-06-01 18:40:21,6901,1014.3752
2020-06-01 18:40:22,7001,1014.3796
2020-06-01 18:40:22,7102,1014.3788
2020-06-01 18:40:22,7202,1014.3853
2020-06-01 18:40:22,7301,1014.3839
2020-06-01 18:40:22,7402,1014.3814
2020-06-01 18:40:22,7501,1014.3756
2020-06-01 18:40:22,7601,1014.37476
2020-06-01 18:40:22,7702,1014.36914
2020-06-01 18:40:22,7801,1014.3714
2020-06-01 18:40:22,7902,1014.36884
2020-06-01 18:40:23,8001,1014.37415
2020-06-01 18:40:23,8101,1014.3749
2020-06-01 18:40:23,8202,1014.37726
2020-06-01 18:40:23,8301,1014.37146
2020-06-01 18:40:23,8402,1014.37256
2020-06-01 18:40:23,8501,1014.3701
2020-06-01 18:40:23,8601,1014.37335
2020-06-01 18:40:23,8702,1014.37256
2020-06-01 18:40:23,8801,1014.37573
2020-06-01 18:40:23,8901,1014.3742
2020-06-01 18:40:24,9002,1014.3768
2020-06-01 18:40:24,9101,1014.38007
2020-06-01 18:40:24,9201,1014.38434
2020-06-01 18:40:24,9302,1014.3887
2020-06-01 18:40:24,9402,1014.3935
2020-06-01 18:40:24,9501,1014.4004
2020-06-01 18:40:24,9601,1014.39294
2020-06-01 18:40:24,9702,1014.3896
2020-06-01 18:40:24,9801,1014.3937
2020-06-01 18:40:24,9901,1014.39624
